what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094486188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094490844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094491178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094500338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094528044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094530356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094583140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094585712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094599518
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094608921
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094608939
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489094608955
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094610628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489094620358
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094630943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489094630962
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094630962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094649198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094654078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094673354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094673684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094680887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094720350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094726975
error,log,,,"Internal Error",1489094732098
error,log,,,"Problems encountered while deleting resources.",1489094732105
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1489094737611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1489094737611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094737630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094738738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094761081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094773255
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1489094774762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1489094774762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094774768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094776617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094778450
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1489094782049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094782411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094835605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094838805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094891404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094892056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094921114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094924415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094935384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489094944235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094944557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094944814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094951856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094994204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094995173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095008475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095010224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095050937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095053956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095055624
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095057419
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095057434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095057449
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095082173
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095082185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095082196
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095091443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489095103032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095105236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095106038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095107822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095108224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095109224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095109957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095111040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095210588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095211757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095228911
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095230156
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095241236
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095244951
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095246659
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095246672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095246682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095252374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095258445
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095258494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489095261878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489095262793
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095265365
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095267822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095272240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095308469
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095314192
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095314336
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095314347
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095314370
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095322860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489095324484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489095344376
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095346142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095355255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095359895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095363340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095368677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095377629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095394383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095396466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095396725
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1489095408196
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489095410744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489095412606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489095418123
