what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1490554814114
java.specification.name,sysinfo,,,"Java Platform API Specification",1490554814114
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490554814114
java.specification.version,sysinfo,,,"1.6",1490554814114
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1490554814114
java.version,sysinfo,,,"1.6.0_23",1490554814114
java.vm.info,sysinfo,,,"mixed mode",1490554814114
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1490554814114
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490554814114
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490554814114
java.vm.specification.version,sysinfo,,,"1.0",1490554814114
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1490554814114
java.vm.version,sysinfo,,,"19.0-b09",1490554814114
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1490554814397
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1490554814874
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490555124688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490555124712
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1490555192283
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490555307945
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1490555308490
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490555312189
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490555312215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555312253
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1490555312546
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1490555312553
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1490555312553
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1490555312554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555319641
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490555321891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555322536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555323615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555328193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555332165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555337659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555351306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555686951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555687367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555689986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555692158
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1490555695909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555699497
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1490555700904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555700916
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1490555700935
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555701888
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1490555702254
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1490555702433
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490555702620
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.5]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1889440] return code: 8",1490555703332
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.5]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1889440, /afs/ualberta.ca/home/b/e/benkhale/Documents/ECE_492/Capstone/hardware/niosII_microc_capstone/software/Webserver_VGA/Webserver_VGA.elf] return code: 8",1490555704740
error,log,,,"Downloading ELF Process failed",1490555704756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555704804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555706208
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490555707245
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1490555712278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555712447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555733676
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555734512
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490555735000
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555739401
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490555768296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555772696
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1490555773501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490555773508
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555774289
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490555774778
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555779161
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490555792537
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490555792588
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555794885
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555794905
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555796633
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555796646
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490555797511
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555798134
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490555798755
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490555799354
