what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488494468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488497217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490488535389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1490488535395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488537215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488544633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490488566579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488567692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488573909
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488612459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490488642533
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490488648876
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490488649412
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490488653882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488662073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488665423
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488686761
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488733150
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488733185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488736331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490488737898
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490488741341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488742371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488744288
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488745650
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490488748577
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490488749067
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490488753590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488760322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488763006
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488779325
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490488782020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490488792167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488794084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488795486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488797168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488870710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490488887008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488889682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488908905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490488921345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488925394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490488944017
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490488948503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488949487
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1490488950963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488956675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488956860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488957019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488957188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488957347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490488957507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1490488958544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490488961891
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490488966110
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490488966647
