what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492165591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492193898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1490492207651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490492209834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492215493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492225023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492237571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492244155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492252243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492258369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492266027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492270404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492276603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492283862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492289872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492289991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1490492333050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492333056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492341360
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490492341492
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490492346020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492347929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492400358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492403618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490492407722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1490492412738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1490492427243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490492428249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492440502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492440648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492452957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492476449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490492480164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492481106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492482819
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490492484870
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490492505376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492510080
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490492510111
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490492510141
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1490492512763
activated,perspective,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui.debugPerspective",1490492512763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492512783
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1490492512786
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1490492516257
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1490492516330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492535802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492544367
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1490492552332
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1490492557051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492559587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490492634768
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490492650745
