# Quartus II Version 5.1 Internal Build 160 09/19/2005 TO Full Version,
# File: D:\de2_pins\de2_pins.csv,
# Generated on: Wed Sep 28 09:40:34 2005,

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.,

To,Location
GPIO_0[0],PIN_D25
GPIO_0[1],PIN_J22
GPIO_0[2],PIN_E26
GPIO_0[3],PIN_E25
GPIO_0[4],PIN_F24
GPIO_0[5],PIN_F23
GPIO_0[6],PIN_J21
GPIO_0[7],PIN_J20
GPIO_0[8],PIN_F25
GPIO_0[9],PIN_F26
GPIO_0[10],PIN_N18
GPIO_0[11],PIN_P18
GPIO_0[12],PIN_G23
GPIO_0[13],PIN_G24
GPIO_0[14],PIN_K22
GPIO_0[15],PIN_G25
GPIO_0[16],PIN_H23
GPIO_0[17],PIN_H24
GPIO_0[18],PIN_J23
GPIO_0[19],PIN_J24
GPIO_0[20],PIN_H25
GPIO_0[21],PIN_H26
GPIO_0[22],PIN_H19
GPIO_0[23],PIN_K18
GPIO_0[24],PIN_K19
GPIO_0[25],PIN_K21
GPIO_0[26],PIN_K23
GPIO_0[27],PIN_K24
GPIO_0[28],PIN_L21
GPIO_0[29],PIN_L20
GPIO_0[30],PIN_J25
GPIO_0[31],PIN_J26
GPIO_0[32],PIN_L23
GPIO_0[33],PIN_L24
GPIO_0[34],PIN_L25
GPIO_0[35],PIN_L19
