what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1365717894886
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1365717894886
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1365717894887
started,bundle,com.altera.sbtgui.integration,10.1.0.153,"com.altera.sbtgui.integration",1365717894887
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1365717894888
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1365717894888
started,bundle,com.altera.systemconsole,10.1.0.153,"com.altera.systemconsole",1365717894888
started,bundle,com.altera.utilities,10.1.0.153,"com.altera.utilities",1365717894888
os,sysinfo,,,"linux",1365717894890
arch,sysinfo,,,"x86",1365717894890
ws,sysinfo,,,"gtk",1365717894890
locale,sysinfo,,,"en_US",1365717894890
processors,sysinfo,,,"8",1365717894890
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365717894890
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1365717894890
java.specification.name,sysinfo,,,"Java Platform API Specification",1365717894890
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365717894890
java.specification.version,sysinfo,,,"1.6",1365717894890
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1365717894890
java.version,sysinfo,,,"1.6.0_14",1365717894890
java.vm.info,sysinfo,,,"mixed mode",1365717894890
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1365717894890
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365717894890
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365717894890
java.vm.specification.version,sysinfo,,,"1.0",1365717894890
