what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365717997108
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718029500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718030117
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718031162
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718034357
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718043487
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718044696
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718046121
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718047894
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1365718049421
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1365718050000
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1365718050011
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1365718050045
stopped,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1365718050046
stopped,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1365718050046
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1365718050046
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1365718050047
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1365718050048
stopped,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1365718050048
stopped,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1365718050049
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1365718050049
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1365718050049
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb",1365718050050
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.200909110608,"org.eclipse.cdt.dsf",1365718050050
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1365718050050
